categoria,porcentagem
Open Source,0.46403712296983757
Mobile,0.23201856148491878
Java,22.273781902552205
Software Engineering,3.7122969837587005
Internet,9.51276102088167
Web Development,3.9443155452436196
Miscellaneous,0.46403712296983757
Microsoft .NET,7.888631090487239
Microsoft,1.8561484918793503
Next Generation Databases,0.23201856148491878
PowerBuilder,1.6241299303944317
Client-Server,2.5522041763341066
Computer Graphics,1.3921113689095128
Object-Oriented Programming,0.9280742459396751
S,0.23201856148491878
Networking,1.6241299303944317
Theory,1.6241299303944317
Programming,2.7842227378190256
Python,1.3921113689095128
Mobile Technology,1.3921113689095128
Business,2.7842227378190256
P,0.23201856148491878
XML,0.9280742459396751
Perl,1.3921113689095128
java,0.23201856148491878
Microsoft/.NET,0.23201856148491878
Miscella,0.23201856148491878
Object-Technology Programming,0.23201856148491878
,0.46403712296983757
internet,0.23201856148491878
.NET,0.23201856148491878
Algorithmic Art,0.23201856148491878
PHP,0.23201856148491878
SOA,0.23201856148491878
Computer Graph,0.23201856148491878
Client Server,0.23201856148491878
In Action,0.23201856148491878
Software Development,0.23201856148491878
